valid_time,latitude,longitude,mwd,number
2024-12-01,-6.3,106.7,,0
2024-12-02,-6.3,106.7,,0
2024-12-03,-6.3,106.7,,0
2024-12-04,-6.3,106.7,,0
2024-12-05,-6.3,106.7,,0
2024-12-06,-6.3,106.7,,0
2024-12-07,-6.3,106.7,,0
2024-12-08,-6.3,106.7,,0
2024-12-09,-6.3,106.7,,0
2024-12-10,-6.3,106.7,,0
2024-12-11,-6.3,106.7,,0
2024-12-12,-6.3,106.7,,0
2024-12-13,-6.3,106.7,,0
2024-12-14,-6.3,106.7,,0
2024-12-15,-6.3,106.7,,0
2024-12-16,-6.3,106.7,,0
2024-12-17,-6.3,106.7,,0
2024-12-18,-6.3,106.7,,0
2024-12-19,-6.3,106.7,,0
2024-12-20,-6.3,106.7,,0
2024-12-21,-6.3,106.7,,0
2024-12-22,-6.3,106.7,,0
2024-12-23,-6.3,106.7,,0
2024-12-24,-6.3,106.7,,0
2024-12-25,-6.3,106.7,,0
2024-12-26,-6.3,106.7,,0
2024-12-27,-6.3,106.7,,0
2024-12-28,-6.3,106.7,,0
2024-12-29,-6.3,106.7,,0
2024-12-30,-6.3,106.7,,0
2024-12-31,-6.3,106.7,,0
