epochs,learning_rate,optimizer,lstm_units,R2,RMSE,MBE,NSE,MAPE
100,0.0001,adam,16,0.41769378451246164,0.1462195415919963,-0.032451252200278224,-161.2068193137332,1880812966960681.2
100,0.0001,adam,32,-0.18418281806879344,0.20851585483754145,0.024920723557179364,-142.36337028245907,1689420071669717.5
100,0.0001,adam,64,0.45266648577385926,0.14176065981779562,-0.04995751850281084,-180.43100057141694,1939213866513820.8
100,0.0001,rmsprop,16,-1.6511866256763756,0.31199659566199855,0.17276555580975247,-270.11864775024543,1196209752083537.8
100,0.0001,rmsprop,32,0.46590697636132405,0.14003550366629172,-0.04329632680975213,-176.2538980668749,1916992132864410.5
100,0.0001,rmsprop,64,0.10777537577631491,0.18099509587292523,-0.012260892051530463,-140.17648719405133,1813457931077436.8
100,0.0001,sgd,16,-0.418997044523006,0.22825507932775296,-0.02639360477777027,-149.25653450889254,1860604656831236.2
100,0.0001,sgd,32,0.021644710602438555,0.18953001798367503,-0.04037921301994646,-144.60548545610135,1907260642066803.5
100,0.0001,sgd,64,0.11183239112428778,0.1805831275776684,-0.06746974725664251,-165.8479847131248,1997634656802845.2
100,0.0001,nadam,16,-0.6973148081818779,0.24963812113413117,0.06183874049422329,-168.36845576336947,1566261577357918.0
100,0.0001,nadam,32,0.205229160081426,0.17082470027793092,-0.031628455113774455,-146.70877385638926,1878068116107213.2
100,0.0001,nadam,64,-0.09478314529584675,0.2004904803967787,-0.10598713386088093,-179.95965848962587,2126128647882948.0
100,0.001,adam,16,0.49128674330956634,0.13666780921555033,0.02876099276071862,-165.34668490986374,1676608934666709.8
100,0.001,adam,32,0.7067638442898684,0.10376203098383527,-0.02201547495994891,-194.28928017886486,1845999216967447.0
100,0.001,adam,64,0.4752045254230215,0.13881127581352398,-0.02127375387733217,-161.94372676482269,1843524835640566.0
100,0.001,rmsprop,16,0.3598111638991244,0.15331468441163154,0.0076829812567925804,-147.24460628500154,1746925175225815.2
100,0.001,rmsprop,32,0.20043445638829283,0.17133920219018428,-0.08048853637141798,-173.9263475667328,2041065333696267.5
100,0.001,rmsprop,64,0.4535421852855136,0.14164721031116959,-0.06970078950928904,-211.04009972074562,2005077413141862.0
100,0.001,sgd,16,0.33772987047595504,0.155936322851507,0.0020118739292960225,-143.73241509262667,1765843987704994.5
100,0.001,sgd,32,0.3838961281855866,0.15040306068266043,-0.05275593185012576,-165.68956223966808,1948549372668038.8
100,0.001,sgd,64,0.45950171453723465,0.14087270875815394,-0.020455392921705298,-160.12924489203994,1840794783718480.0
100,0.001,nadam,16,0.46954456511178366,0.13955781358737251,-0.0027692283218274795,-160.38213681385832,1781793743495055.0
100,0.001,nadam,32,0.3779806518412243,0.151123377798282,-0.04139367259461055,-164.3481559313279,1910644878927871.5
100,0.001,nadam,64,0.42602674874739344,0.14516955044353047,-0.03026144422012934,-163.07216680843274,1873507768143339.5
100,0.01,adam,16,0.3892601670484457,0.14974689571273656,-0.07211498778425468,-186.0190066560296,2013131177920773.5
100,0.01,adam,32,0.1677737106956586,0.17480361931742833,-0.009626259243339656,-135.98287012740082,1804668796756528.5
100,0.01,adam,64,0.46429165355314517,0.14024710703702842,-0.07959717760733467,-217.67564874424986,2038091761105324.5
100,0.01,rmsprop,16,0.487256362203878,0.13720812996370813,0.021909461581855652,-156.68476248795568,1699465640788224.5
100,0.01,rmsprop,32,0.013581488209389647,0.1903094315857313,0.10722200025864737,-186.42005932341957,1414863035310569.2
100,0.01,rmsprop,64,0.44589368730262424,0.14263504849480882,-0.003865451782130895,-150.86663644792327,1785450744656045.0
100,0.01,sgd,16,0.29471078123579886,0.16092122417916258,-0.06512078670689941,-162.45990434546866,1989798525057266.5
100,0.01,sgd,32,-0.18701298854907833,0.20876488025242904,-0.14551836920255345,-224.72889414261556,2258004838071290.0
100,0.01,sgd,64,0.2800574642240946,0.16258430611488098,-0.026629527909077234,-143.59628747270563,1861391696332156.2
100,0.01,nadam,16,0.4350842110397245,0.14401958717443167,-0.03793725487508744,-158.73367194057045,1899114270369588.2
100,0.01,nadam,32,0.2540916761209856,0.16549025759687666,-0.0474923494262445,-149.74515616267365,1930990063154833.2
100,0.01,nadam,64,-0.732657460849339,0.25222379835622766,-0.2060884573418402,-305.0284411873941,2460066635385295.0
