LandCover,% in 2017,% in 2018,% in 2019,% in 2020,% in 2021,% in 2022,% in 2023,% in 2024
Water,15.44,15.13,15.26,15.64,15.64,15.8,15.37,15.89
Trees,14.89,14.32,13.5,14.28,13.58,13.3,13.17,13.32
Flooded Vegetation,1,1.18,1.12,1.13,1.05,1.37,0.84,1
Crops,34.1,33.94,32.97,33.02,33.42,32.76,31.02,30.87
Built Area,32.75,33.62,34.81,34.59,35.14,35.11,37.24,37.37
Bare Ground,0.17,0.09,0.07,0.05,0.04,0.05,0.14,0.06
Snow/Ice,0,0,0,0,0,0,0,0
Clouds,0,0,0,0,0,0.01,0,0
Rangeland,1.65,1.73,2.27,1.29,1.13,1.59,2.22,1.48
No Data,0,0,0,0,0,0,0,0
