valid_time,latitude,longitude,sp,number
2024-12-01,-6.3,106.7,99727.086,0
2024-12-01,-6.3,106.95,99566.33,0
2024-12-02,-6.3,106.7,99773.53,0
2024-12-02,-6.3,106.95,99614.58,0
2024-12-03,-6.3,106.7,99869.266,0
2024-12-03,-6.3,106.95,99711.33,0
2024-12-04,-6.3,106.7,99809.41,0
2024-12-04,-6.3,106.95,99655.27,0
2024-12-05,-6.3,106.7,99696.53,0
2024-12-05,-6.3,106.95,99543.664,0
2024-12-06,-6.3,106.7,99719.734,0
2024-12-06,-6.3,106.95,99570.15,0
2024-12-07,-6.3,106.7,99719.98,0
2024-12-07,-6.3,106.95,99572.61,0
2024-12-08,-6.3,106.7,99738.984,0
2024-12-08,-6.3,106.95,99590.016,0
2024-12-09,-6.3,106.7,99734.2,0
2024-12-09,-6.3,106.95,99583.22,0
2024-12-10,-6.3,106.7,99631.29,0
2024-12-10,-6.3,106.95,99470.61,0
2024-12-11,-6.3,106.7,99617.41,0
2024-12-11,-6.3,106.95,99459.805,0
2024-12-12,-6.3,106.7,99655.19,0
2024-12-12,-6.3,106.95,99499.234,0
2024-12-13,-6.3,106.7,99671.16,0
2024-12-13,-6.3,106.95,99518.234,0
2024-12-14,-6.3,106.7,99805.38,0
2024-12-14,-6.3,106.95,99649.48,0
2024-12-15,-6.3,106.7,99892.14,0
2024-12-15,-6.3,106.95,99736.734,0
2024-12-16,-6.3,106.7,99897.18,0
2024-12-16,-6.3,106.95,99746.79,0
2024-12-17,-6.3,106.7,99894.266,0
2024-12-17,-6.3,106.95,99737.266,0
2024-12-18,-6.3,106.7,99837.0,0
2024-12-18,-6.3,106.95,99676.82,0
2024-12-19,-6.3,106.7,99811.58,0
2024-12-19,-6.3,106.95,99650.05,0
2024-12-20,-6.3,106.7,99812.76,0
2024-12-20,-6.3,106.95,99656.03,0
2024-12-21,-6.3,106.7,99884.43,0
2024-12-21,-6.3,106.95,99731.81,0
2024-12-22,-6.3,106.7,99911.04,0
2024-12-22,-6.3,106.95,99765.92,0
2024-12-23,-6.3,106.7,99873.12,0
2024-12-23,-6.3,106.95,99721.44,0
2024-12-24,-6.3,106.7,99917.414,0
2024-12-24,-6.3,106.95,99762.34,0
2024-12-25,-6.3,106.7,100017.89,0
2024-12-25,-6.3,106.95,99866.78,0
2024-12-26,-6.3,106.7,100108.33,0
2024-12-26,-6.3,106.95,99955.05,0
2024-12-27,-6.3,106.7,100079.31,0
2024-12-27,-6.3,106.95,99927.8,0
2024-12-28,-6.3,106.7,100003.336,0
2024-12-28,-6.3,106.95,99848.45,0
2024-12-29,-6.3,106.7,99975.87,0
2024-12-29,-6.3,106.95,99820.586,0
2024-12-30,-6.3,106.7,100041.75,0
2024-12-30,-6.3,106.95,99876.516,0
2024-12-31,-6.3,106.7,99922.805,0
2024-12-31,-6.3,106.95,99763.59,0
